dataset,group,run_id,channel,windows,valid_windows
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_status.nav_state,73,71
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_vision_position.x,73,71
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_vision_position.y,73,71
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_vision_position.z,73,71
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_controls_0.control[0],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_controls_0.control[1],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_controls_0.control[2],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_controls_0.control[3],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_outputs.output[0],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_outputs.output[1],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_outputs.output[2],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_outputs.output[3],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_outputs.output[4],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_outputs.output[5],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_outputs.output[6],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_outputs.output[7],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,battery_status.current_a,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,battery_status.current_filtered_a,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,battery_status.discharged_mah,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,battery_status.remaining,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,battery_status.voltage_filtered_v,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,battery_status.voltage_v,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,cpuload.load,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,cpuload.ram_usage,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,distance_sensor.current_distance,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,ekf2_innovations.hagl_innov,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,ekf2_innovations.heading_innov,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,ekf2_innovations.output_tracking_error[0],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,ekf2_innovations.output_tracking_error[1],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,ekf2_innovations.output_tracking_error[2],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,ekf2_innovations.vel_pos_innov[3],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,ekf2_innovations.vel_pos_innov[4],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,ekf2_innovations.vel_pos_innov[5],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status.hagl_test_ratio,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status.hgt_test_ratio,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status.mag_test_ratio,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status.pos_horiz_accuracy,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status.pos_test_ratio,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status.pos_vert_accuracy,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status.vibe[0],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status.vibe[1],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status.vibe[2],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,manual_control_setpoint.r,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,manual_control_setpoint.x,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,manual_control_setpoint.y,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,manual_control_setpoint.z,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,rate_ctrl_status.pitchspeed_integ,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,rate_ctrl_status.rollspeed_integ,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,rate_ctrl_status.yawspeed_integ,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_combined.accelerometer_m_s2[0],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_combined.accelerometer_m_s2[1],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_combined.accelerometer_m_s2[2],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_combined.gyro_rad[0],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_combined.gyro_rad[1],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_combined.gyro_rad[2],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_preflight.accel_inconsistency_m_s_s,105,0
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_preflight.gyro_inconsistency_rad_s,105,0
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude.pitchspeed,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude.q[0],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude.q[1],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude.q[2],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude.q[3],105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude.rollspeed,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude.yawspeed,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint.pitch_body,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint.roll_body,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint.yaw_body,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_land_detected.ground_contact,105,67
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_land_detected.landed,105,67
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_land_detected.maybe_landed,105,67
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.ax,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.ay,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.az,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.dist_bottom,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.dist_bottom_rate,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.eph,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.epv,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.vx,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.vy,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.vz,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.x,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.y,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position.z,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint.pitch,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint.roll,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint.yaw,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_status.arming_state,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_status.nav_state,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_vision_position.x,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_vision_position.y,105,103
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_vision_position.z,105,103
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_controls_0.control[0],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_controls_0.control[1],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_controls_0.control[2],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_controls_0.control[3],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_outputs.output[0],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_outputs.output[1],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_outputs.output[2],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_outputs.output[3],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_outputs.output[4],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_outputs.output[5],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_outputs.output[6],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_outputs.output[7],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,battery_status.current_a,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,battery_status.current_filtered_a,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,battery_status.discharged_mah,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,battery_status.remaining,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,battery_status.voltage_filtered_v,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,battery_status.voltage_v,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,cpuload.load,109,108
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,cpuload.ram_usage,109,108
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,distance_sensor.current_distance,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,ekf2_innovations.hagl_innov,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,ekf2_innovations.heading_innov,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,ekf2_innovations.output_tracking_error[0],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,ekf2_innovations.output_tracking_error[1],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,ekf2_innovations.output_tracking_error[2],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,ekf2_innovations.vel_pos_innov[3],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,ekf2_innovations.vel_pos_innov[4],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,ekf2_innovations.vel_pos_innov[5],109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,estimator_status.hagl_test_ratio,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,estimator_status.hgt_test_ratio,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,estimator_status.mag_test_ratio,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,estimator_status.pos_horiz_accuracy,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,estimator_status.pos_test_ratio,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,estimator_status.pos_vert_accuracy,109,107
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,estimator_status.vibe[0],109,107
